dataset, numInstances, numAttributes, classifier, minOcc, minOccPC, addDefaultRule, errorRate, precision, recall, fMeasure, weightedAreaUnderROC, numGeneratedRules, numGeneratedRulesPC, correctPC, coverPC, expectedDimensionality, expectedDimensionalityPC, expectedErrorsPC
balance-scale, 625, 4, ODRI_T, 87, 0.1392, false, 0.2976, 0.6234356218057682, 0.675392670157068, 0.6475377546637137, 0.6824145334278147, 5, 0.008, 0.6512, 0.88, 2.3216, 0.5804, 0.2288
balance-scale, 625, 4, ODRI_T, 87, 0.1392, true, 0.3216, 0.6259946872815494, 0.6784, 0.6505106257287213, 0.701780415430267, 6, 0.0096, 0.7424, 1.0, 1.9568, 0.4892, 0.2576
balance-scale, 625, 4, ODRI_T, 88, 0.1408, false, 0.304, 0.6194669310004889, 0.6701388888888888, 0.642613958356931, 0.679019885355419, 5, 0.008, 0.6512, 0.88, 2.3216, 0.5804, 0.2288
balance-scale, 625, 4, ODRI_T, 88, 0.1408, true, 0.3296, 0.6188190633041688, 0.6704, 0.6427428926891312, 0.6943620178041543, 6, 0.0096, 0.7424, 1.0, 1.9568, 0.4892, 0.2576
balance-scale, 625, 4, ODRI_T, 89, 0.1424, false, 0.3104, 0.618264596144, 0.6660929432013769, 0.6396216507190563, 0.6777939261638898, 5, 0.008, 0.6512, 0.88, 2.3216, 0.5804, 0.2288
balance-scale, 625, 4, ODRI_T, 89, 0.1424, true, 0.3424, 0.6096694661444699, 0.6576, 0.6291952884459795, 0.6824925816023739, 6, 0.0096, 0.7424, 1.0, 1.9568, 0.4892, 0.2576
balance-scale, 625, 4, ODRI_T, 90, 0.144, false, 0.3008, 0.62701562106324, 0.6684303350970018, 0.6409630718878572, 0.6758153968166744, 5, 0.008, 0.6512, 0.88, 2.3216, 0.5804, 0.2288
balance-scale, 625, 4, ODRI_T, 90, 0.144, true, 0.3568, 0.5962384905660377, 0.6432, 0.6152229857343782, 0.669139465875371, 6, 0.0096, 0.7424, 1.0, 1.9568, 0.4892, 0.2576
balance-scale, 625, 4, ODRI_T, 91, 0.1456, false, 0.3296, 0.5969313554392087, 0.6404886561954625, 0.6127194333230676, 0.653086392181639, 5, 0.008, 0.648, 0.8944, 2.3312, 0.5828, 0.2464
balance-scale, 625, 4, ODRI_T, 91, 0.1456, true, 0.3696, 0.583469813571025, 0.6304, 0.6027916391933728, 0.6572700296735905, 6, 0.0096, 0.7168, 1.0, 2.056, 0.514, 0.2832
